service_id,service_description
aeb6540c-f97b-4564-b2fb-18c57af37fde,Calendar start 3.9.24 (Weekday)
f0c825fc-97a2-4d29-86a3-bd366abab903,Calendar start 3.9.24 (Weekday)
a0b7c6e8-6ea8-4125-b312-1c206907e673,Calendar start 4.1.24 (Weekday)
e02e68f7-5099-40f6-a1fc-c1be8e428b4e,Calendar start 4.1.24 (Weekday)
05e63c0a-7f23-4fb1-a280-b5a17601d1b2,Calendar start 4.1.24 (Weekday)
01c16324-5d03-4dff-b7e1-98bcf3a0201d,Calendar start 4.1.24 (Weekday)
48c9965f-4dab-44c3-bff4-3143d9e16b77,Calendar start 3.9.24 (Weekday)
de75976f-4e9b-4fc1-8585-28ecc880e8b2,Calendar start 4.1.24 (Weekday)
e9ea2f51-09e8-497b-b2a8-647d00701d39,Calendar start 3.9.24 (Weekday)
bb23842d-37d9-4968-bb76-b708b0fecbb3,Calendar start 3.9.24 (Weekday)
8e17680b-b29d-43ad-81d7-e27d9cb59b9e,Calendar start 3.9.24 (Weekday)
ba950365-d716-4c85-be47-766d3949a5d5,Calendar start 3.9.24 (Weekday)
ca58ad37-9a2c-494c-a519-c603695406a5,Calendar start 3.9.24 (Weekday)
