route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
5786,,A - PM,MVgo - A PM,,3,https://mvgo.org/routes/a/,1F51FF,,,1,1
5783,,A - AM,MVgo - A AM,,3,https://mvgo.org/routes/a/,1F51FF,,,1,1
20473,,B - PM Concert,MVgo - B PM Concert,,3,https://mvgo.org/routes/b/,E02646,,,1,1
5787,,C - AM,MVgo - C AM,,3,https://mvgo.org/routes/c/,43B5AE,,,1,1
5788,,C - PM,MVgo - C PM,,3,https://mvgo.org/routes/c/,43B5AE,,,1,1
20022,,C - PM Concert,MVgo - C PM Concert,,3,https://mvgo.org/routes/c/,12EB4B,,,1,1
5789,,D - AM,MVgo - D AM,,3,https://mvgo.org/routes/d/,FDDD00,,,1,1
5790,,D - PM,MVgo - D PM,,3,https://mvgo.org/routes/d/,FDDD00,,,1,1
5784,,B - AM,MVgo - B AM,,3,https://mvgo.org/routes/b/,E08926,,,1,1
5785,,B - PM,MVgo - B PM,,3,https://mvgo.org/routes/b/,E08926,,,1,1
